# Ratio Measurement - KEITHLEY INSTRUMENTS INC.,MODEL 2100,1194515,01.12-01-01
# Main Channel: 100V, Reference: Auto
# Start: 2025-12-02 15:01:15
# Stop: 2025-12-03 08:00:00
# File: c:\WinPython\notebooks\HiPES\Francois\Driftmessung_2025-12-02_15-01-15.csv

Datum_Zeit,Ratiomesswert,Gleitender_Mittelwert,Gesamtmittelwert
2025-12-02 15:01:16,10.0313304000,10.0313304000,10.0313304000
2025-12-02 15:01:17,10.0313256000,10.0313280000,10.0313280000
2025-12-02 15:01:18,10.0313112000,10.0313224000,10.0313224000
2025-12-02 15:01:19,10.0312856000,10.0313132000,10.0313132000
2025-12-02 15:01:20,10.0313120000,10.0313129600,10.0313129600
2025-12-02 15:01:21,10.0313168000,10.0313136000,10.0313136000
2025-12-02 15:01:22,10.0313272000,10.0313155429,10.0313155429
2025-12-02 15:01:23,10.0313184000,10.0313159000,10.0313159000
2025-12-02 15:01:24,10.0313256000,10.0313169778,10.0313169778
2025-12-02 15:01:25,10.0313312000,10.0313184000,10.0313184000
2025-12-02 15:01:26,10.0313376000,10.0313201455,10.0313201455
2025-12-02 15:01:27,10.0313168000,10.0313198667,10.0313198667
2025-12-02 15:01:28,10.0312904000,10.0313176000,10.0313176000
2025-12-02 15:01:29,10.0313064000,10.0313168000,10.0313168000
2025-12-02 15:01:30,10.0312784000,10.0313142400,10.0313142400
2025-12-02 15:01:31,10.0312952000,10.0313118933,10.0313130500
2025-12-02 15:01:32,10.0313056000,10.0313105600,10.0313126118
2025-12-02 15:01:33,10.0312992000,10.0313097600,10.0313118667
2025-12-02 15:01:34,10.0313128000,10.0313115733,10.0313119158
2025-12-02 15:01:35,10.0312840000,10.0313097067,10.0313105200
2025-12-02 15:01:36,10.0312544000,10.0313055467,10.0313078476
2025-12-02 15:01:37,10.0312704000,10.0313017600,10.0313061455
2025-12-02 15:01:38,10.0312760000,10.0312989333,10.0313048348
2025-12-02 15:01:39,10.0312520000,10.0312940267,10.0313026333
2025-12-02 15:01:40,10.0312984000,10.0312918400,10.0313024640
2025-12-02 15:01:41,10.0312920000,10.0312888000,10.0313020615
2025-12-02 15:01:42,10.0312768000,10.0312861333,10.0313011259
2025-12-02 15:01:43,10.0312512000,10.0312835200,10.0312993429
2025-12-02 15:01:44,10.0312136000,10.0312773333,10.0312963862
2025-12-02 15:01:45,10.0312712000,10.0312768533,10.0312955467
2025-12-02 15:01:46,10.0312768000,10.0312756267,10.0312949419
2025-12-02 15:01:47,10.0312608000,10.0312726400,10.0312938750
2025-12-02 15:01:48,10.0312656000,10.0312704000,10.0312930182
2025-12-02 15:01:49,10.0312856000,10.0312685867,10.0312928000
2025-12-02 15:01:50,10.0312952000,10.0312693333,10.0312928686
2025-12-02 15:01:51,10.0312832000,10.0312712533,10.0312926000
2025-12-02 15:01:52,10.0312992000,10.0312731733,10.0312927784
2025-12-02 15:01:53,10.0312576000,10.0312719467,10.0312918526
2025-12-02 15:01:54,10.0312728000,10.0312733333,10.0312913641
2025-12-02 15:01:55,10.0312608000,10.0312708267,10.0312906000
2025-12-02 15:01:56,10.0312856000,10.0312704000,10.0312904780
2025-12-02 15:01:57,10.0312712000,10.0312700267,10.0312900190
2025-12-02 15:01:58,10.0312128000,10.0312674667,10.0312882233
2025-12-02 15:01:59,10.0312744000,10.0312715200,10.0312879091
2025-12-02 15:02:00,10.0312528000,10.0312702933,10.0312871289
2025-12-02 15:02:01,10.0312312000,10.0312672533,10.0312859130
2025-12-02 15:02:02,10.0312344000,10.0312654933,10.0312848170
2025-12-02 15:02:03,10.0312344000,10.0312634133,10.0312837667
2025-12-02 15:02:04,10.0312832000,10.0312632533,10.0312837551
2025-12-02 15:02:05,10.0312640000,10.0312611733,10.0312833600
2025-12-02 15:02:06,10.0312952000,10.0312619733,10.0312835922
2025-12-02 15:02:07,10.0312960000,10.0312617600,10.0312838308
2025-12-02 15:02:08,10.0312824000,10.0312634133,10.0312838038
2025-12-02 15:02:09,10.0312344000,10.0312608533,10.0312828889
2025-12-02 15:02:10,10.0312512000,10.0312602133,10.0312823127
2025-12-02 15:02:11,10.0312776000,10.0312596800,10.0312822286
2025-12-02 15:02:12,10.0312832000,10.0312604800,10.0312822456
2025-12-02 15:02:13,10.0312560000,10.0312633600,10.0312817931
2025-12-02 15:02:14,10.0312408000,10.0312611200,10.0312810983
2025-12-02 15:02:15,10.0312680000,10.0312621333,10.0312808800
2025-12-02 15:02:16,10.0312688000,10.0312646400,10.0312806820
2025-12-02 15:02:17,10.0312416000,10.0312651200,10.0312800516
2025-12-02 15:02:18,10.0312520000,10.0312662933,10.0312796063
2025-12-02 15:02:19,10.0312608000,10.0312648000,10.0312793125
2025-12-02 15:02:20,10.0312336000,10.0312627733,10.0312786092
2025-12-02 15:02:21,10.0312432000,10.0312593067,10.0312780727
2025-12-02 15:02:22,10.0312592000,10.0312568533,10.0312777910
2025-12-02 15:02:23,10.0312488000,10.0312546133,10.0312773647
2025-12-02 15:02:24,10.0311944000,10.0312519467,10.0312761623
2025-12-02 15:02:25,10.0312432000,10.0312514133,10.0312756914
2025-12-02 15:02:26,10.0312368000,10.0312486933,10.0312751437
2025-12-02 15:02:27,10.0312456000,10.0312461867,10.0312747333
2025-12-02 15:02:28,10.0312536000,10.0312460267,10.0312744438
2025-12-02 15:02:29,10.0312368000,10.0312457600,10.0312739351
2025-12-02 15:02:30,10.0312344000,10.0312435200,10.0312734080
2025-12-02 15:02:31,10.0312672000,10.0312434133,10.0312733263
2025-12-02 15:02:32,10.0312392000,10.0312432533,10.0312728831
2025-12-02 15:02:33,10.0312592000,10.0312437333,10.0312727077
2025-12-02 15:02:34,10.0312080000,10.0312402133,10.0312718886
2025-12-02 15:02:35,10.0312808000,10.0312433600,10.0312720000
2025-12-02 15:02:36,10.0312296000,10.0312424533,10.0312714765
2025-12-02 15:02:37,10.0312216000,10.0312399467,10.0312708683
